ID,Name,Age,Gender,Math,Science,English,Attendance
1,Asiya,21,F,85,78,82,92
2,Rahul,22,M,72,80,75,88
3,Priya,21,F,90,92,88,
4,Arjun,23,M,65,70,68,78
5,Anu,20,F,55,62,58,72
6,Kiran,22,M,88,85,90,94
7,Sneha,21,F,76,73,80,86
8,Rohit,23,M,45,52,48,65
9,Divya,20,F,95,89,94,98
10,Varun,22,M,60,65,62,75
11,Neha,21,F,82,79,85,91
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
